Country,Number of Cases
South Africa,"6,406"
France,"3,044"
USA,"2,472"
Sweden,"2,368"
Germany,"2,263"
Reunion,"1,965"
Philippines,"1,235"
Finland,"1,178"
Belgium,"1,123"
United Kingdom,"1,055"
Spain,992
Canada,976
Luxembourg,901
Turkey,728
Netherlands,697
Qatar,631
Bangladesh,392
Mayotte,392
Botswana,366
Norway,364
Angola,333
Zimbabwe,331
Mozambique,313
Malawi,313
Switzerland,303
Austria,271
India,250
Israel,241
Singapore,204
Kenya,194
Malaysia,175
Zambia,161
Denmark,129
Italy,123
Portugal,119
Namibia,109
Japan,106
China,94
Australia,88
Ireland,79
Czech Republic,72
Poland,46
Greece,46
Rwanda,46
Equatorial Guinea,44
Thailand,40
Estonia,37
Pakistan,35
Djibouti,34
South Korea,34
Democratic Republic of the Congo,33
Slovenia,32
New Zealand,31
Slovakia,30
Croatia,28
Russia,27
Eswatini,26
Mexico,21
Ghana,19
Indonesia,17
Madagascar,17
Uganda,15
Lesotho,14
Bahrain,12
Costa Rica,12
Lithuania,11
Latvia,9
Mauritius,9
Cameroon,9
Sri Lanka,8
Romania,8
Brazil,6
United Arab Emirates,6
Comoros,6
Suriname,5
Gabon,5
Chile,5
Burundi,5
Oman,4
Guadeloupe,4
Aruba,4
Taiwan,4
Jordan,4
Tunisia,3
Malta,3
Bulgaria,3
South Sudan,3
Guam,3
Nigeria,2
Ecuador,2
Togo,2
Iran,2
Martinique,2
French Guiana,2
Panama,2
Somalia,1
Saudi Arabia,1
Argentina,1
Morocco,1
Sint Maarten,1
Guinea Bissau,1
Iraq,1
Brunei,1
Monaco,1
Colombia,1
North Macedonia,1
Kuwait,1
Bosnia and Herzegovina,1
Georgia,1
Cambodia,1
Cote d'Ivoire,1
