Country,Number of Cases
USA,"23,015"
Brazil,"16,063"
Canada,"8,043"
Chile,"2,321"
Mexico,"2,277"
Italy,"2,130"
Belgium,"1,970"
Spain,953
Luxembourg,928
Germany,793
France,568
Netherlands,566
Colombia,344
Argentina,326
French Guiana,302
Trinidad and Tobago,255
United Kingdom,223
Portugal,190
Switzerland,185
Uruguay,173
Ecuador,145
Sweden,141
Aruba,121
Japan,118
Suriname,117
Turkey,88
Costa Rica,69
Denmark,62
Paraguay,54
Haiti,47
Peru,42
Dominican Republic,34
Malta,32
Ireland,29
Austria,28
Poland,24
Czech Republic,20
Israel,19
Bolivia,17
Venezuela,17
Curacao,14
Romania,12
South Korea,10
Norway,9
Australia,8
Singapore,8
Slovenia,7
New Zealand,7
Croatia,6
Lithuania,6
Finland,5
Jordan,5
Taiwan,4
Guyane,3
India,3
Barbados,3
Bosnia and Herzegovina,3
China,2
Philippines,2
Pakistan,1
Bonaire,1
Guyana,1
Angola,1
Latvia,1
Sint Maarten,1
Faroe Islands,1
Cayman Islands,1
Bangladesh,1
Thailand,1
Russia,1
Greece,1
Guam,1
