Country,Number of Cases
USA,"36,049,015"
India,"31,769,132"
Brazil,"19,986,073"
Russia,"6,334,195"
France,"6,178,632"
United Kingdom,"5,923,820"
Turkey,"5,795,665"
Argentina,"4,961,880"
Colombia,"4,807,979"
Spain,"4,523,310"
Italy,"4,363,374"
Iran,"3,979,727"
Germany,"3,782,326"
Indonesia,"3,496,700"
Poland,"2,883,284"
Mexico,"2,880,409"
South Africa,"2,470,746"
Ukraine,"2,255,345"
Peru,"2,116,652"
Netherlands,"1,872,093"
Czechia,"1,673,926"
Iraq,"1,660,371"
Chile,"1,618,457"
Philippines,"1,612,541"
Canada,"1,433,782"
Bangladesh,"1,296,093"
Malaysia,"1,163,291"
Belgium,"1,130,758"
Sweden,"1,101,900"
Romania,"1,083,711"
Pakistan,"1,047,999"
Portugal,"974,203"
Japan,"944,763"
Israel,"882,798"
Hungary,"809,672"
Jordan,"773,657"
Serbia,"723,031"
Switzerland,"720,743"
Nepal,"702,097"
UAE,"685,462"
Thailand,"672,385"
Austria,"660,262"
Morocco,"642,683"
Kazakhstan,"602,952"
Tunisia,"596,775"
Lebanon,"564,354"
Saudi Arabia,"528,952"
Greece,"501,030"
Ecuador,"487,702"
Bolivia,"475,265"
Paraguay,"453,367"
Belarus,"448,335"
Panama,"437,744"
Georgia,"428,670"
Bulgaria,"426,003"
Cuba,"413,251"
Costa Rica,"411,123"
Kuwait,"400,128"
Slovakia,"392,751"
Uruguay,"381,853"
Guatemala,"373,047"
Croatia,"363,973"
Azerbaijan,"345,882"
Dominican Republic,"342,850"
Denmark,"319,295"
Palestine,"317,264"
Sri Lanka,"316,219"
Myanmar,"311,067"
Venezuela,"308,452"
Ireland,"304,310"
Honduras,"301,700"
Oman,"297,431"
Egypt,"284,415"
Lithuania,"283,656"
Ethiopia,"281,300"
Bahrain,"269,495"
Moldova,"259,828"
Slovenia,"259,486"
Libya,"258,467"
Armenia,"230,713"
Qatar,"226,710"
Bosnia and Herzegovina,"205,825"
Kenya,"205,356"
S. Korea,"203,926"
Zambia,"197,123"
Nigeria,"175,264"
Algeria,"175,229"
Vietnam,"174,461"
Mongolia,"168,673"
Kyrgyzstan,"166,236"
North Macedonia,"156,543"
Afghanistan,"148,933"
Latvia,"139,037"
Norway,"138,740"
Estonia,"133,978"
Albania,"133,211"
Uzbekistan,"132,901"
Mozambique,"126,391"
Namibia,"119,797"
Botswana,"115,220"
Zimbabwe,"112,435"
Finland,"108,358"
Ghana,"105,512"
Cyprus,"103,314"
Montenegro,"102,403"
Uganda,"94,537"
China,"93,289"
El Salvador,"87,498"
Cameroon,"82,064"
Cambodia,"79,634"
Maldives,"77,758"
Luxembourg,"74,042"
Rwanda,"72,841"
Singapore,"65,315"
Senegal,"64,024"
Jamaica,"53,543"
Malawi,"53,503"
DRC,"50,529"
Ivory Coast,"50,499"
Angola,"43,070"
Madagascar,"42,674"
Réunion,"40,245"
Trinidad and Tobago,"39,162"
Sudan,"37,138"
Australia,"35,086"
Malta,"34,508"
Cabo Verde,"33,858"
Fiji,"32,733"
French Guiana,"30,449"
Eswatini,"27,467"
Mauritania,"26,555"
Syria,"26,026"
Guinea,"25,992"
Suriname,"25,549"
Gabon,"25,405"
Guyana,"22,643"
French Polynesia,"20,859"
Haiti,"20,307"
Guadeloupe,"19,503"
Mayotte,"19,503"
Martinique,"19,149"
Seychelles,"18,384"
Papua New Guinea,"17,774"
Togo,"16,053"
Taiwan,"15,721"
Somalia,"15,594"
Tajikistan,"15,293"
Bahamas,"15,011"
Andorra,"14,766"
Mali,"14,595"
Belize,"14,284"
Curaçao,"13,757"
Lesotho,"13,603"
Burkina Faso,"13,591"
Congo,"13,216"
Hong Kong,"11,995"
Aruba,"11,877"
Djibouti,"11,655"
Timor-Leste,"11,100"
South Sudan,"11,076"
Nicaragua,"9,853"
Channel Islands,"9,443"
Equatorial Guinea,"8,911"
Benin,"8,394"
Gambia,"8,296"
Iceland,"8,233"
Burundi,"7,518"
CAR,"7,151"
Yemen,"7,086"
Laos,"7,015"
Eritrea,"6,564"
Sierra Leone,"6,292"
Niger,"5,658"
Saint Lucia,"5,652"
Liberia,"5,459"
San Marino,"5,147"
Gibraltar,"5,031"
Isle of Man,"5,022"
Chad,"4,973"
Guinea-Bissau,"4,588"
Barbados,"4,422"
Mauritius,"4,393"
Comoros,"4,028"
Liechtenstein,"3,089"
Monaco,"2,926"
New Zealand,"2,879"
Sint Maarten,"2,824"
Bermuda,"2,589"
Saint Martin,"2,579"
Bhutan,"2,532"
British Virgin Islands,"2,500"
Turks and Caicos,"2,486"
Sao Tome and Principe,"2,457"
St. Vincent Grenadines,"2,297"
Caribbean Netherlands,"1,710"
Antigua and Barbuda,"1,303"
St. Barth,"1,195"
Tanzania,"1,017"
Faeroe Islands,987
Diamond Princess,712
Cayman Islands,644
Saint Kitts and Nevis,600
Wallis and Futuna,445
Brunei,338
Dominica,218
Grenada,164
New Caledonia,134
Greenland,130
Anguilla,113
Falkland Islands,63
Macao,59
Saint Pierre Miquelon,28
Vatican City,27
Montserrat,21
Solomon Islands,20
Western Sahara,10
MS Zaandam,9
Vanuatu,4
Marshall Islands,4
Samoa,3
Saint Helena,2
Micronesia,1
